0 1 2 12
2 3 0 28
1 2 1 20
3 0 3 4
0 1 3 19
2 3 1 3
1 2 0 11
3 0 2 27
0 3 2 23
2 1 0 7
1 0 1 15
3 2 3 31
0 2 1 25
2 0 3 9
1 1 2 1
3 3 0 17
0 0 0 29
2 2 2 13
1 3 3 5
3 1 1 21
0 3 0 12
2 1 2 28
1 0 3 20
3 2 1 4
0 1 1 8
2 3 3 24
1 2 2 16
3 0 0 0
0 0 2 6
2 2 0 22
1 3 1 30
3 1 3 14
0 2 3 2
2 0 1 18
1 1 0 26
3 3 2 10
0 0 0 9
2 2 2 25
1 3 3 17
3 1 1 1
0 2 1 13
2 0 3 29
1 1 2 21
3 3 0 5
0 3 2 3
2 1 0 19
1 0 1 27
3 2 3 11
0 1 3 7
2 3 1 23
1 2 0 31
3 0 2 15
0 2 3 22
2 0 1 6
1 1 0 14
3 3 2 30
0 0 2 18
2 2 0 2
1 3 1 10
3 1 3 26
0 1 1 28
2 3 3 12
1 2 2 4
3 0 0 20
